A 313 200 000 UI POUR CENT, pommade
ACEBUTOLOL RANBAXY 200 mg, comprimé pelliculé
ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé
ACEBUTOLOL RATIOPHARM 200 mg, comprimé enrobé
ACEBUTOLOL RATIOPHARM 400 mg, comprimé enrobé
ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé
ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé
ACEBUTOLOL TEVA 200 mg, comprimé pelliculé
ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable
ACEBUTOLOL ZENTIVA 200 mg, comprimé pelliculé
ACEBUTOLOL ZENTIVA 400 mg, comprimé pelliculé
ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé
ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé
ACECLOFENAC ACCORD 100 mg, comprimé pelliculé
ACECLOFENAC BIOGARAN 100 mg, comprimé pelliculé
ACECLOFENAC EG 100 mg, comprimé pelliculé
ACECLOFENAC MYLAN 100 mg, comprimé pelliculé
ACECLOFENAC QUALIMED 100 mg, comprimé pelliculé
ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable
ACETATE DE CYPROTERONE ARROW 50 mg, comprimé sécable
ACETATE DE CYPROTERONE EG 100 mg, comprimé sécable
ACETATE DE CYPROTERONE EG 50 mg, comprimé sécable
ACETATE DE CYPROTERONE SANDOZ 100 mg, comprimé sécable
ACETATE DE CYPROTERONE SANDOZ 50 mg, comprimé sécable
ACETATE DE CYPROTERONE TEVA 100 mg, comprimé sécable
ACETATE DE CYPROTERONE TEVA 50 mg, comprimé
ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent
ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, comprimé effervescent
ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, poudre pour solution buvable en sachet
ACETYLCYSTEINE EG 200 mg, poudre pour solution buvable en sachet-dose
ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose
ACETYLCYSTEINE MYLAN 200 mg, comprimé effervescent sécable
ACETYLCYSTEINE MYLAN 200 mg, poudre pour solution buvable en sachet-dose
ACETYLCYSTEINE SANDOZ CONSEIL 200 mg, granulés pour solution buvable en sachet-dose
ACETYLCYSTEINE TEVA 200 mg, granulés pour solution buvable en sachet-dose
ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose
ACETYLCYSTEINE TEVA CONSEIL 200 mg, poudre pour solution buvable en sachet-dose
ACETYLLEUCINE BIOGARAN 500 mg, comprimé
ACETYLLEUCINE MYLAN 500 mg, comprimé
ACETYLLEUCINE TEVA 500 mg, comprimé
ACETYLLEUCINE ZENTIVA 500 mg, comprimé
ACICLOVIR ALMUS 200 mg, comprimé
ACICLOVIR ALMUS 5 %, crème
ACICLOVIR ARROW 200 mg, comprimé
ACICLOVIR ARROW 5 %, crème
ACICLOVIR ARROW 800 mg, comprimé
ACICLOVIR ARROW CONSEIL 5 %, crème
ACICLOVIR ARROW LAB 200 mg, comprimé
ACICLOVIR ARROW LAB 800 mg, comprimé
ACICLOVIR BGR 200 mg, comprimé
ACICLOVIR BGR 800 mg, comprimé
ACICLOVIR BIOGARAN 200 mg, comprimé
ACICLOVIR BIOGARAN 5 %, crème
ACICLOVIR BIOGARAN 800 mg, comprimé
ACICLOVIR BIOGARAN CONSEIL 5 %, crème
ACICLOVIR CRISTERS 200 mg, comprimé
ACICLOVIR CRISTERS 5 %, crème
ACICLOVIR CRISTERS 800 mg, comprimé
ACICLOVIR CRISTERS CONSEIL 5 %, crème
ACICLOVIR EG 200 mg, comprimé
ACICLOVIR EG 5 POUR CENT, crème
ACICLOVIR EG 800 mg, comprimé
ACICLOVIR EVOLUGEN 200 mg, comprimé
ACICLOVIR MYLAN 200 mg, comprimé
ACICLOVIR MYLAN 250 mg, poudre pour solution injectable (IV)
ACICLOVIR MYLAN 5 %, crème
ACICLOVIR MYLAN 500 mg, poudre pour solution injectable (IV)
ACICLOVIR MYLAN 800 mg, comprimé
ACICLOVIR MYLAN PHARMA 5 %, crème
ACICLOVIR QUALIMED 5 %, crème
ACICLOVIR QUALIMED 800 mg, comprimé
ACICLOVIR RANBAXY 200 mg, comprimé
ACICLOVIR RANBAXY 800 mg, comprimé
ACICLOVIR RATIOPHARM 200 mg, comprimé
ACICLOVIR RATIOPHARM 5 %, crème
ACICLOVIR RATIOPHARM 800 mg, comprimé
ACICLOVIR RPG 5 %, crème
ACICLOVIR SANDOZ 200 mg, comprimé
ACICLOVIR SANDOZ 5 %, crème
ACICLOVIR SANDOZ CONSEIL 5 %, crème
ACICLOVIR TEVA 200 mg, comprimé
ACICLOVIR TEVA 5 %, crème
ACICLOVIR TEVA 800 mg, comprimé
ACICLOVIR TEVA CONSEIL 5 %, crème
ACICLOVIR TEVA SANTE 5 %, crème
ACICLOVIR ZENTIVA 200 mg, comprimé
ACICLOVIR ZENTIVA 5 %, crème
ACICLOVIR ZENTIVA 800 mg, comprimé
ACICLOVIR ZYDUS 200 mg, comprimé
ACICLOVIR ZYDUS 5 %, crème
ACIDE ALENDRONIQUE ACTAVIS 70 mg, comprimé
ACIDE ALENDRONIQUE ALTER 70 mg, comprimé pelliculé
ACIDE ALENDRONIQUE ARROW 10 mg, comprimé
ACIDE ALENDRONIQUE ARROW 70 mg, comprimé
ACIDE ALENDRONIQUE BIOGARAN 70 mg, comprimé
ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé
ACIDE ALENDRONIQUE EG 70 mg, comprimé
ACIDE ALENDRONIQUE EVOLUGEN 70 mg, comprimé
ACIDE ALENDRONIQUE MYLAN, 70 mg, comprimé
ACIDE ALENDRONIQUE PHR LAB 70 mg, comprimé
ACIDE ALENDRONIQUE QUALIMED 70 mg, comprimé
ACIDE ALENDRONIQUE RANBAXY 70 mg, comprimé
ACIDE ALENDRONIQUE RATIOPHARM 70 mg, comprimé
ACIDE ALENDRONIQUE SANDOZ 70 mg, comprimé
ACIDE ALENDRONIQUE TEVA 70 mg, comprimé
ACIDE ALENDRONIQUE TEVA SANTE 70 mg, comprimé
ACIDE ALENDRONIQUE ZYDUS 70 mg, comprimé
ACIDE FOLIQUE ARROW 5 mg, comprimé
ACIDE FOLIQUE CCD 0,4 mg, comprimé
ACIDE FOLIQUE CCD 5 mg, comprimé
ACIDE FUSIDIQUE ARROW 2 %, crème
ACIDE FUSIDIQUE BGR 2 %, crème
ACIDE FUSIDIQUE BIOGARAN 2 %, crème
ACIDE FUSIDIQUE EG 2 %, crème
ACIDE FUSIDIQUE MYLAN 2 %, crème
ACIDE FUSIDIQUE RATIOPHARM 2 %, crème
ACIDE FUSIDIQUE SANDOZ 2 %, crème
ACIDE IBANDRONIQUE TEVA 150 mg, comprimé pelliculé
ACIDE TIAPROFENIQUE ARROW 100 mg, comprimé sécable
ACIDE TIAPROFENIQUE EG 100 mg, comprimé sécable
ACIDE TIAPROFENIQUE TEVA 100 mg, comprimé sécable
ACIDE TIAPROFENIQUE ZENTIVA 100 mg, comprimé sécable
ACIDE URSODESOXYCHOLIQUE BIOGARAN 250 mg, comprimé pelliculé
ACIDE URSODESOXYCHOLIQUE MYLAN 250 mg, comprimé pelliculé
ACIDE URSODESOXYCHOLIQUE TEVA 250 mg, comprimé pelliculé
ACIDE ZOLEDRONIQUE BIOGARAN 4 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE BIOGARAN 5 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE FRESENIUS KABI 4 mg/5 ml, solution à diluer pour perfusion
ACIDE ZOLEDRONIQUE HOSPIRA 4 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE MYLAN 4 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE MYLAN 4 mg/5 ml, solution à diluer pour perfusion
ACIDE ZOLEDRONIQUE SANDOZ 4 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE SANDOZ 5 mg/100 ml, solution pour perfusion
ACIDE ZOLEDRONIQUE TEVA PHARMA 5 mg, solution pour perfusion en flacon
ACIDE ZOLEDRONIQUE ZENTIVA LAB 4 mg/100 ml, solution pour perfusion
ACIDRINE, comprimé à croquer
ACIDUM PHOSPHORICUM COMPLEXE N°5, solution buvable en gouttes
ACLASTA 5 mg, solution pour perfusion
ACLOTINE 100 UI/ml, poudre et solvant pour solution injectable
ACNETRAIT 10 mg, capsule molle
ACNETRAIT 20 mg, capsule molle
ACNETRAIT 40 mg, capsule molle
ACNETRAIT 5 mg, capsule molle
ACONITUM FEROX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACONITUM NAPELLUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACONITUM NAPELLUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACONITUM NAPELLUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACORSPRAY 200 microgrammes/dose, solution pour inhalation en flacon pressurisé
ACT-HIB 10 microgrammes/0,5 ml, poudre et solvant pour solution injectable en seringue préremplie. Vaccin conjugué de l'Haemophilus type b
ACTAEA RACEMOSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACTAEA RACEMOSA DECOCTE WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACTAEA RACEMOSA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACTAEA RACEMOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACTAEA SPICATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ACTAPULGITE 3 g ENFANTS ET ADULTES, poudre pour suspension buvable en sachet
ACTHEANE, comprimé
ACTI 5, solution buvable en ampoule
ACTICARBINE 70 mg, comprimé enrobé
ACTICARBINE, comprimé enrobé
ACTIFED ALLERGIE CETIRIZINE 10 mg, comprimé pelliculé sécable
ACTIFED ETATS GRIPPAUX, poudre pour solution buvable en sachet-dose
ACTIFED LP RHINITE ALLERGIQUE, comprimé pelliculé à libération prolongée
ACTIFED RHUME JOUR ET NUIT, comprimé
ACTIFED RHUME, comprimé
ACTIFEDSIGN, gélule
ACTILYSE 2 mg, poudre pour solution injectable et perfusion
ACTILYSE, poudre et solvant pour solution injectable et perfusion
ACTIQ 1200 microgrammes, comprimé avec applicateur buccal
ACTIQ 1600 microgrammes, comprimé avec applicateur buccal
ACTIQ 200 microgrammes, comprimé avec applicateur buccal
ACTIQ 400 microgrammes, comprimé avec applicateur buccal
ACTIQ 600 microgrammes, comprimé avec applicateur buccal
ACTIQ 800 microgrammes, comprimé avec applicateur buccal
ACTISKENAN 10 mg, gélule
ACTISKENAN 20 mg, gélule
ACTISKENAN 30 mg, gélule
ACTISKENAN 5 mg, gélule
ACTISOUFRE 4 mg/50 mg par 10 ml, suspension buvable ou pour instillation nasale
ACTISOUFRE, solution pour pulvérisation nasale/buccale en flacon pressurisé
ACTIVAROL, solution buvable en ampoule
ACTIVELLE, comprimé pelliculé
ACTIVIR 5 POUR CENT, crème
ACTIVOX EXPECTORANT LIERRE SANS SUCRE, pastille édulcorée l'isomalt et à l'acésulfame de potassium
ACTIVOX EXPECTORANT LIERRE, sirop
ACTIVOX MAUX DE GORGE ERYSIMUM AROME MENTHE EUCALYPTUS SANS SUCRE, pastille édulcorée au sorbitol
ACTIVOX MAUX DE GORGE ERYSIMUM AROME MIEL CITRON SANS SUCRE, pastille édulcorée au sorbitol
ACTIVOX RHUME PELARGONIUM, solution buvable
ACTIVOX, pommade
ACTONEL 30 mg, comprimé pelliculé
ACTONEL 35 mg, comprimé pelliculé
ACTONEL 35 mg, comprimé pelliculé
ACTONEL 35 mg, comprimé pelliculé
ACTONEL 5 mg, comprimé pelliculé
ACTONEL 75 mg, comprimé pelliculé
ACTONEL 75 mg, comprimé pelliculé
ACTONEL 75 mg, comprimé pelliculé
ACTONELCOMBI 35 mg + 1000 mg/880 UI, comprimé pelliculé et granulés effervescents
ACTOSOLV 100 000 UI, poudre pour solution injectable
ACTOSOLV 600 000 UI, poudre pour solution injectable
ACTRAPID 100 unités internationales/ml, solution injectable
ACTRAPID PENFILL 100 unités internationales/ml, solution injectable en cartouche
ACTRON, comprimé effervescent
ACUILIX 20 mg/12,5 mg, comprimé pelliculé sécable
ACUITEL 20 mg, comprimé enrobé sécable
ACUITEL 5 mg, comprimé enrobé sécable
ACULAR 0,5 POUR CENT, collyre
ACUPAN, solution injectable
ADALATE 10 mg, capsule
ADALATE 20 mg L.P., comprimé à libération prolongée
ADANCOR 10 mg, comprimé sécable
ADANCOR 20 mg, comprimé
ADAPALENE TEVA 0,1 POUR CENT, crème
ADAPALENE TEVA 0,1 POUR CENT, gel
ADAPALENE ZENTIVA 0.1%, crème
ADAPALENE ZENTIVA 0.1%, gel
ADARTREL 0,25 mg, comprimé pelliculé
ADARTREL 0,50 mg, comprimé pelliculé
ADARTREL 2 mg, comprimé pelliculé
ADASUVE 9,1 mg, poudre pour inhalation en récipient unidose
ADCETRIS 50 mg, poudre pour solution à diluer pour perfusion
ADCIRCA 20 mg, comprimé pelliculé
ADEMPAS 0,5 mg, comprimé pelliculé
ADEMPAS 1 mg, comprimé pelliculé
ADEMPAS 1,5 mg, comprimé pelliculé
ADEMPAS 2 mg, comprimé pelliculé
ADEMPAS 2,5 mg, comprimé pelliculé
ADENOCYNESINE, solution buvable en gouttes
ADENOSCAN 30 mg/10 mL, solution pour perfusion
ADENOSINE MEDAC 6 mg/2 ml, solution injectable
ADENURIC 120 mg, comprimé pelliculé
ADENURIC 80 mg, comprimé pelliculé
ADENYL 60 mg, comprimé
ADEPAL, comprimé enrobé
ADIAZINE 500 mg, comprimé
ADONIS VERNALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ADONIS VERNALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ADOPORT 0,5 mg, gélule
ADOPORT 1 mg, gélule
ADOPORT 2 mg, gélule
ADOPORT 5 mg, gélule
ADRENALINE AGUETTANT 0,1 mg/mL sans sulfite, solution injectable en seringue pré-remplie
ADRENALINE AGUETTANT 0,25 mg/ml, solution injectable en ampoule
ADRENALINE AGUETTANT 0,5 mg/ml, solution injectable en ampoule
ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable
ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule
ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule
ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable
ADRENALINE RENAUDIN 1 mg/ml, solution injectable
ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule
ADRENALINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ADRENALINUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ADREVIEW [123I] 74 MBq/mL, solution injectable
ADRIBLASTINE 10 mg, lyophilisat pour usage parentéral (perfusion) en flacon
ADRIBLASTINE 10 mg/5 ml, solution injectable pour perfusion en flacon
ADRIBLASTINE 200 mg/100 ml, solution injectable pour perfusion en flacon
ADRIBLASTINE 50 mg, lyophilisat pour usage parentéral (perfusion) en flacon
ADRIBLASTINE 50 mg/25 ml, solution injectable pour perfusion en flacon
ADRIGYL 10 000 UI/ml, solution buvable en gouttes
ADROVANCE 70 mg/2800 UI, comprimé
ADROVANCE 70 mg/5600 UI, comprimé
ADVAGRAF 0,5 mg, gélule à libération prolongée
ADVAGRAF 1 mg, gélule à libération prolongée
ADVAGRAF 3 mg, gélule à libération prolongée
ADVAGRAF 5 mg, gélule à libération prolongée
ADVATE 1000 UI, poudre et solvant pour solution injectable
ADVATE 1500 UI, poudre et solvant pour solution injectable
ADVATE 2000 UI, poudre et solvant pour solution injectable
ADVATE 250 UI, poudre et solvant pour solution injectable
ADVATE 3000 UI, poudre et solvant pour solution injectable
ADVATE 500 UI, poudre et solvant pour solution injectable
ADVIL 200 mg, comprimé enrobé
ADVIL 400 mg, comprimé enrobé
ADVILCAPS 200 mg, capsule molle
ADVILCAPS 400 mg, capsule molle
ADVILEFF 200 mg, comprimé effervescent
ADVILGEL 5 %, gel
ADVILMED 100 mg, comprimé enrobé
ADVILMED 400 mg, comprimé enrobé
ADVILMED 5 %, gel
ADVILMED ENFANTS ET NOURRISSONS 20 mg/1 ml, suspension buvable en flacon
ADVILTAB 200 mg, comprimé enrobé
AERIUS 0,5 mg/ml, solution buvable
AERIUS 5 mg, comprimé pelliculé
AERRANE, liquide pour inhalation par vapeur
AESCULUS COMPLEXE N°103, solution buvable en gouttes
AESCULUS GLABRA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AESCULUS HIPPOCASTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AESCULUS HIPPOCASTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AESCULUS HIPPOCASTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AETHIOPS MERCURIALIS MINERALIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AETHIOPS MERCURIALIS MINERALIS LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AETHUSA CYNAPIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AETHUSA CYNAPIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AETOXISCLEROL TAMPONNE 0,25 POUR CENT (5 mg/2 ml), solution injectable (I.V.) en ampoule
AETOXISCLEROL TAMPONNE 0,5 POUR CENT (10 mg/2 ml), solution injectable (IV) en ampoule
AETOXISCLEROL TAMPONNE 2 POUR CENT (40 mg/2 ml), solution injectable (IV) en ampoule
AETOXISCLEROL TAMPONNE 3 POUR CENT (60 mg/2 ml), solution injectable (IV) en ampoule
AFINITOR 10 mg, comprimé
AFINITOR 2,5 mg, comprimé
AFINITOR 5 mg, comprimé
AFTAGEL, gel buccal
AFTOSIUM, comprimé sublingual
AGARICUS BULBOSUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGARICUS BULBOSUS LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AGARICUS BULBOSUS WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
AGARICUS MUSCARIUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGARICUS MUSCARIUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGARICUS MUSCARIUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGAVE AMERICANA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
AGIOLAX, granulés
AGNUS CASTUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGNUS CASTUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGNUS CASTUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGRAPHIS NUTANS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGRAPHIS NUTANS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGRASTAT 250 microgrammes/ml, solution à diluer pour perfusion
AGRASTAT 50 microgrammes/ml, solution pour perfusion
AGRIMONIA EUPATORIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AGRIPPAL, suspension injectable en seringue préremplie. Vaccin grippal inactivé à antigènes de surface
AGYRAX, comprimé sécable
AILANTHUS GLANDULOSA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
AILANTHUS GLANDULOSA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
AIROMIR AUTOHALER 100 microgrammes/dose, suspension pour inhalation en flacon pressurisé
AKINETON L.P. 4 mg, comprimé enrobé à libération prolongée
ALAIRGIX ALLERGIE CETIRIZINE 10 mg, comprimé à sucer sécable
ALAIRGIX RHINITE ALLERGIQUE CROMOGLICATE DE SODIUM 2 %, solution pour pulvérisation nasale
ALBUMINE HUMAINE BAXTER BIOSCIENCE 200 g/l, solution pour perfusion
ALBUNORM 20 %, 200 g/l, solution pour perfusion
ALBUNORM 4 %, 40 g/l, solution pour perfusion
ALBUNORM 5 %, 50 g/l, solution pour perfusion
ALCHEMILLA VULGARIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
ALCOOL A USAGE MEDICAL GILBERT 0,5 ml, compresse imprégnée
ALCOOL A USAGE MEDICAL GILBERT 2,5 ml, compresse imprégnée
ALCOOL A USAGE MEDICAL GILBERT, solution pour application locale
ALCOOL MODIFIE COOPER, solution pour application cutanée
ALCOOL MODIFIE EVOLUPHARM, solution pour application cutanée
ALCOOL MODIFIE GIFRER, solution pour application cutanée
ALDACTAZINE, comprimé sécable
ALDACTONE 25 mg, comprimé sécable
ALDACTONE 50 mg, comprimé sécable
ALDACTONE 75 mg, comprimé sécable
ALDALIX 50 mg/ 20 mg, gélule
ALDARA 5 %, crème
ALDIREK 10 mg, comprimé pelliculé sécable
ALDOMET 250 mg, comprimé enrobé
ALDOMET 500 mg, comprimé enrobé
ALDOSTERONE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
ALDURAZYME 100 U/ml, solution à diluer pour perfusion
ALDYZINE, solution dentaire
ALENDRONATE TEVA 10 mg, comprimé
ALEPSAL 100 mg, comprimé
ALEPSAL 15 mg, comprimé
ALEPSAL 150 mg, comprimé
ALEPSAL 50 mg, comprimé
ALETRIS FARINOSA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
ALETRIS FARINOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ALEVETABS 220 mg, comprimé pelliculé
ALFA-AMYLASE BIOGARAN CONSEIL 200 U.CEIP/ml, sirop
ALFA-AMYLASE BIOGARAN CONSEIL 3 000 U.CEIP, comprimé enrobé
ALFACALCIDOL TEVA 0,25 microgramme, capsule molle
ALFACALCIDOL TEVA 1 microgramme, capsule molle
ALFALASTIN 33,33 mg/ml, poudre et solvant pour solution injectable
ALFALFA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ALFALFA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
ALFATIL 125 mg/5 ml, poudre pour suspension buvable
ALFATIL 250 mg, gélule
ALFATIL 250 mg/5 ml, poudre pour suspension buvable
ALFATIL L.P. 375 mg, comprimé pelliculé à libération prolongée
ALFATIL LP 500 mg, comprimé pelliculé à libération prolongée
